Constituency	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6
Clacton	1034	1493.768	1021.5	1472.117	996.5	1472.117	984	1493.768	996.5	1515.419	1021.5	1515.419
Cleethorpes	1371.5	1342.211	1359	1320.56	1334	1320.56	1321.5	1342.211	1334	1363.862	1359	1363.862
Clwyd South	1146.5	995.795	1134	974.144	1109	974.144	1096.5	995.795	1109	1017.446	1134	1017.446
Clwyd West	584	1147.352	571.5	1125.701	546.5	1125.701	534	1147.352	546.5	1169.003	571.5	1169.003
Coatbridge, Chryston & Bellshill	546.5	1125.701	534	1104.05	509	1104.05	496.5	1125.701	509	1147.352	534	1147.352
Colchester	621.5	389.567	609	367.916	584	367.916	571.5	389.567	584	411.218	609	411.218
Colne Valley	1259	1363.862	1246.5	1342.211	1221.5	1342.211	1209	1363.862	1221.5	1385.513	1246.5	1385.513
Congleton	884	930.842	871.5	909.191	846.5	909.191	834	930.842	846.5	952.493	871.5	952.493
Copeland	771.5	952.493	759	930.842	734	930.842	721.5	952.493	734	974.144	759	974.144
Corby	696.5	606.077	684	584.426	659	584.426	646.5	606.077	659	627.728	684	627.728
Cornwall North	1034	1147.352	1021.5	1125.701	996.5	1125.701	984	1147.352	996.5	1169.003	1021.5	1169.003
Cornwall South East	321.5	1818.533	309	1796.882	284	1796.882	271.5	1818.533	284	1840.184	309	1840.184
Cotswolds, The	321.5	1861.835	309	1840.184	284	1840.184	271.5	1861.835	284	1883.486	309	1883.486
Coventry North East	696.5	1472.117	684	1450.466	659	1450.466	646.5	1472.117	659	1493.768	684	1493.768
Coventry North West	846.5	1125.701	834	1104.05	809	1104.05	796.5	1125.701	809	1147.352	834	1147.352
Coventry South	846.5	1169.003	834	1147.352	809	1147.352	796.5	1169.003	809	1190.654	834	1190.654
Crawley	809	1190.654	796.5	1169.003	771.5	1169.003	759	1190.654	771.5	1212.305	796.5	1212.305
Crewe & Nantwich	996.5	1688.627	984	1666.976	959	1666.976	946.5	1688.627	959	1710.278	984	1710.278
Croydon Central	696.5	952.493	684	930.842	659	930.842	646.5	952.493	659	974.144	684	974.144
Croydon North	1071.5	1645.325	1059	1623.674	1034	1623.674	1021.5	1645.325	1034	1666.976	1059	1666.976
Croydon South	1034	1623.674	1021.5	1602.023	996.5	1602.023	984	1623.674	996.5	1645.325	1021.5	1645.325
Cumbernauld, Kilsyth & Kirkintilloch East	1034	1666.976	1021.5	1645.325	996.5	1645.325	984	1666.976	996.5	1688.627	1021.5	1688.627
Cynon Valley	621.5	259.661	609	238.01	584	238.01	571.5	259.661	584	281.312	609	281.312
Dagenham & Rainham	546.5	1385.513	534	1363.862	509	1363.862	496.5	1385.513	509	1407.164	534	1407.164
Darlington	1259	1537.07	1246.5	1515.419	1221.5	1515.419	1209	1537.07	1221.5	1558.721	1246.5	1558.721
Dartford	959	627.728	946.5	606.077	921.5	606.077	909	627.728	921.5	649.379	946.5	649.379
Daventry	1259	1580.372	1246.5	1558.721	1221.5	1558.721	1209	1580.372	1221.5	1602.023	1246.5	1602.023
Delyn	846.5	1212.305	834	1190.654	809	1190.654	796.5	1212.305	809	1233.956	834	1233.956
Denton & Reddish	546.5	1039.097	534	1017.446	509	1017.446	496.5	1039.097	509	1060.748	534	1060.748
Derby North	809	844.238	796.5	822.587	771.5	822.587	759	844.238	771.5	865.889	796.5	865.889
Derby South	884	1060.748	871.5	1039.097	846.5	1039.097	834	1060.748	846.5	1082.399	871.5	1082.399
Derbyshire Dales	921.5	1082.399	909	1060.748	884	1060.748	871.5	1082.399	884	1104.05	909	1104.05
